Detector type,Radius in m,Angle in rad,Height in m,Ring number,x in m,y in m,z in m
LAPPD,1.2686,0.821821,-0.741283,,0.863773,-0.741283,0.929103
LAPPD,1.27215,0.868572,-0.712887,,0.821705,-0.712887,0.97117
LAPPD,1.26777,0.790477,-0.864834,,0.891885,-0.864834,0.900991
LAPPD,1.27159,0.707698,0.102565,,0.966232,0.102565,0.826644
LAPPD,1.27057,0.718757,0.0172012,,0.956266,0.0172012,0.83661
LAPPD,1.28674,0.75779,-0.109184,,0.934629,-0.109184,0.884396
LAPPD,1.26976,0.729169,-0.0261526,,0.946896,-0.0261526,0.845979
LAPPD,1.26907,0.739931,-0.0114813,,0.937224,-0.0114813,0.855651
LAPPD,1.27019,0.723482,0.0800785,,0.952013,0.0800785,0.840862
LAPPD,1.26778,0.779655,0.0937354,,0.901587,0.0937354,0.891289
LAPPD,1.27067,0.717632,0.8172,,0.957279,0.8172,0.835597
LAPPD,1.26899,0.82962,0.727337,,0.856769,0.727337,0.936106
LAPPD,1.29076,1.65443,-0.835859,,-0.107825,-0.835859,1.28625
LAPPD,1.26923,1.52254,-0.769422,,0.0612302,-0.769422,1.26775
LAPPD,1.27215,1.65394,-0.791648,,-0.105647,-0.791648,1.26775
LAPPD,1.28917,1.50347,0.106193,,0.0867336,0.106193,1.28625
LAPPD,1.26847,1.53725,0.101899,,0.0425492,0.101899,1.26775
LAPPD,1.27349,1.54295,0.11,,0.0354609,0.11,1.273
LAPPD,1.28279,1.48142,0.727771,,0.1145,0.727771,1.27767
LAPPD,1.26898,1.52687,0.815452,,0.0557297,0.815452,1.26775
LAPPD,1.26775,1.5698,0.857316,,0.00125748,0.857316,1.26775
LAPPD,1.26863,2.39344,0.0294612,,-0.929844,0.0294612,0.863032
LAPPD,1.27598,2.42559,0.11,,-0.962645,0.11,0.837519
LAPPD,1.2691,2.31008,-0.0873842,,-0.855065,-0.0873842,0.93781
LAPPD,1.26971,2.41176,-0.0245823,,-0.946299,-0.0245823,0.846577
LAPPD,1.26778,2.36292,-0.0212404,,-0.902463,-0.0212404,0.890412
LAPPD,1.26798,2.33726,-0.0987649,,-0.879464,-0.0987649,0.913412
LAPPD,1.27117,2.28292,0.838461,,-0.830635,0.838461,0.96224
LAPPD,1.26847,2.38989,0.756719,,-0.926652,0.756719,0.866223
LAPPD,1.27084,2.42589,0.863792,,-0.959017,0.863792,0.833859
LAPPD,1.26817,2.3306,0.844251,,-0.873493,0.844251,0.919383
LAPPD,1.26944,2.40775,0.884114,,-0.942699,0.884114,0.850177
LAPPD,1.2678,2.34801,0.812033,,-0.889102,0.812033,0.903773
LAPPD,1.26777,2.35181,0.86024,,-0.892511,0.86024,0.900364
LAPPD,1.27145,2.27989,0.744043,,-0.827902,0.744043,0.964973
LAPPD,1.26994,2.29757,0.807414,,-0.843825,0.807414,0.94905
LAPPD,1.26927,2.40508,0.793674,,-0.940299,0.793674,0.852576
LAPPD,1.27156,2.43357,0.724739,,-0.965938,0.724739,0.826937
LAPPD,1.26917,2.30896,0.781569,,-0.854064,0.781569,0.938812
LAPPD,1.26973,2.41196,0.749007,,-0.946483,0.749007,0.846393
LAPPD,1.27105,2.28413,0.702503,,-0.831722,0.702503,0.961153
LAPPD,1.26935,2.30598,0.687127,,-0.851385,0.687127,0.94149
LAPPD,1.26782,2.36598,0.782801,,-0.90521,0.782801,0.887666
LAPPD,1.27102,2.42789,0.871393,,-0.960816,0.871393,0.832059
LAPPD,1.2727,3.05338,-0.0379968,,-1.26775,-0.0379968,0.112129
LAPPD,1.26799,3.12214,0.800992,,-1.26775,0.800992,0.0246641
LAPPD,1.26907,3.09608,0.871781,,-1.26775,0.871781,0.0577401
LAPPD,1.2685,3.10741,0.884455,,-1.26775,0.884455,0.0433581
LAPPD,1.26861,3.10491,0.855876,,-1.26775,0.855876,0.0465252
LAPPD,1.27052,-3.07556,0.868047,,-1.26775,0.868047,-0.0838354
LAPPD,1.27071,-3.07343,0.883192,,-1.26775,0.883192,-0.0865525
LAPPD,1.27185,3.06136,0.820114,,-1.26775,0.820114,0.101928
LAPPD,1.26783,3.13082,0.789912,,-1.26775,0.789912,0.0136599
LAPPD,1.28479,-2.40059,0.11,,-0.947908,0.11,-0.867266
LAPPD,1.27015,-2.29482,0.711618,,-0.841346,0.711618,-0.95153
LAPPD,1.27032,-2.29266,0.85573,,-0.839408,0.85573,-0.953467
,,,,,,,
,,,,,,,
,,,,,,,
PMT,1.09972,-1.32776,-0.681467,3,0.264648,-0.681467,-1.0674
PMT,1.09972,-1.32776,-0.2537,,0.264648,-0.2537,-1.0674
PMT,1.09972,-1.32776,0.174067,,0.264648,0.174067,-1.0674
PMT,1.09972,-1.32776,0.601833,,0.264648,0.601833,-1.0674
PMT,1.19881,-1.04089,-1.10923,,0.605947,-1.10923,-1.0344
PMT,1.09972,-1.02843,-0.681467,,0.567633,-0.681467,-0.941902
PMT,1.19881,-1.04089,-0.2537,,0.605947,-0.2537,-1.0344
PMT,1.09972,-1.02843,0.174067,,0.567633,0.174067,-0.941902
PMT,1.09972,-1.02843,0.601833,,0.567633,0.601833,-0.941902
PMT,1.19881,-1.04089,1.0296,,0.605947,1.0296,-1.0344
PMT,1.19881,-0.52991,-1.10923,,1.0344,-1.10923,-0.605947
PMT,1.09972,-0.542363,-0.681467,,0.941901,-0.681467,-0.567633
PMT,1.09972,-0.542363,-0.2537,,0.941901,-0.2537,-0.567633
PMT,1.09972,-0.542363,0.174067,,0.941901,0.174067,-0.567633
PMT,1.09972,-0.542363,0.601833,,0.941901,0.601833,-0.567633
PMT,1.19881,-0.52991,1.0296,,1.0344,1.0296,-0.605947
PMT,1.19881,-0.255488,-1.10923,,1.1599,-1.10923,-0.302961
PMT,1.09972,-0.243035,-0.681467,,1.0674,-0.681467,-0.264648
PMT,1.19881,-0.255488,-0.2537,,1.1599,-0.2537,-0.302961
PMT,1.09972,-0.243035,0.174067,,1.0674,0.174067,-0.264648
PMT,1.09972,-0.243035,0.601833,,1.0674,0.601833,-0.264648
PMT,1.19881,-0.255488,1.0296,,1.1599,1.0296,-0.302961
PMT,1.19881,0.255488,-1.10923,,1.1599,-1.10923,0.302961
PMT,1.19881,0.255488,-0.681467,,1.1599,-0.681467,0.302961
