,NeutrinoEnergy,RecoE
388,663.000,844.257
389,1202.000,1576.399
390,1261.000,1098.296
391,799.000,807.533
392,847.000,1004.463
393,796.000,838.944
394,1136.000,1151.798
395,1028.000,1147.682
396,672.000,770.140
397,1531.000,839.428
398,510.000,668.520
399,1451.000,1408.947
400,1185.000,976.482
401,1133.000,1100.033
402,1357.000,1670.677
403,1116.000,1040.691
404,1142.000,1141.962
405,698.000,794.181
406,1002.000,1002.003
407,1380.000,1379.883
408,1618.000,1308.227
409,1237.000,1216.825
410,1602.000,1601.958
411,1093.000,1092.998
412,1121.000,1120.995
413,806.000,852.663
414,754.000,753.995
415,785.000,872.664
416,1969.000,1461.870
417,914.000,983.400
418,1061.000,1061.000
419,808.000,1143.431
420,1691.000,1691.027
421,1590.000,1550.401
422,1718.000,1714.234
423,1709.000,1543.978
424,869.000,870.257
425,1653.000,1073.988
426,875.000,874.961
427,640.000,639.969
428,1327.000,1256.116
429,1158.000,1157.999
430,936.000,935.975
431,1184.000,1295.930
432,906.000,905.972
433,765.000,838.232
434,669.000,669.000
435,866.000,757.473
436,814.000,955.176
437,907.000,1102.894
438,936.000,889.159
439,1544.000,1507.590
440,575.000,748.144
441,1675.000,1673.258
442,1242.000,1248.349
443,1066.000,1088.538
444,856.000,855.994
445,841.000,840.657
446,1796.000,1608.360
447,649.000,649.310
448,1054.000,1053.996
449,1864.000,1534.085
450,1260.000,1390.471
451,913.000,995.240
452,1141.000,1141.880
453,699.000,933.150
454,1732.000,1732.001
455,1801.000,1202.669
456,1198.000,1197.817
457,875.000,962.406
458,1007.000,1052.638
459,1424.000,1570.841
460,706.000,705.994
461,728.000,739.687
462,1704.000,1590.067
463,673.000,694.540
464,765.000,773.013
465,803.000,826.336
466,1074.000,1074.055
467,777.000,852.460
468,1681.000,1733.896
469,1012.000,1064.333
470,773.000,773.201
471,1723.000,1721.899
472,680.000,833.347
473,1111.000,1111.000
474,1201.000,1154.996
475,719.000,778.966
476,1132.000,1132.000
477,1252.000,1317.231
478,1292.000,1292.000
479,724.000,871.960
480,1076.000,1292.428
481,1411.000,1411.082
482,839.000,887.244
483,1006.000,928.153
484,1462.000,822.906
485,717.000,717.000
486,1470.000,1470.026
487,1873.000,1872.893
488,765.000,811.511
489,1420.000,1024.343
490,965.000,687.230
491,1767.000,1669.044
492,787.000,848.963
493,937.000,819.269
494,963.000,880.173
495,1013.000,1013.043
496,1413.000,1374.560
497,912.000,912.001
498,1147.000,1141.072
499,1487.000,1540.984
500,1450.000,1450.000
501,637.000,739.255
502,635.000,739.713
503,1881.000,1512.646
504,791.000,849.817
505,1055.000,1055.089
506,775.000,774.932
507,728.000,709.975
508,1263.000,1177.536
509,919.000,979.318
510,577.000,664.273
511,1010.000,1010.045
512,822.000,869.801
513,700.000,764.631
514,863.000,941.050
515,1134.000,1133.866
516,873.000,671.902
517,606.000,694.842
518,936.000,936.000
519,1159.000,1240.601
520,734.000,717.706
521,1941.000,1484.372
522,1789.000,1788.230
523,1346.000,1346.005
524,745.000,880.192
525,1174.000,1248.875
526,1020.000,1050.581
527,1452.000,1377.461
528,822.000,821.983
529,970.000,970.016
530,1077.000,1068.195
531,1010.000,1009.919
532,766.000,778.685
533,1399.000,1410.946
534,736.000,800.068
535,1256.000,815.167
536,1143.000,1143.000
537,779.000,780.169
538,1014.000,812.058
539,1327.000,1326.996
540,1241.000,1241.088
541,798.000,805.298
